#Time;LinearAccX;LinearAccY;LinearAccZ;AngularAccX;AngularAccY;AngularAccZ
0;0;0;0;0;0;0
0.099401955054989541;0.00098017140329560606;0;0;0;0;0
0.19880391010997908;0.0019509032201612826;0;0;0;0;0
0.29820586516496861;0.0029028467725446235;0;0;0;0;0
0.39760782021995816;0.0038268343236508981;0;0;0;0;0
0.49700977527494772;0.0047139673682599767;0;0;0;0;0
0.59641173032993722;0.0055557023301960216;0;0;0;0;0
0.69581368538492683;0.006343932841636455;0;0;0;0;0
0.79521564043991633;0.0070710678118654745;0;0;0;0;0
0.89461759549490583;0.0077301045336273704;0;0;0;0;0
0.99401955054989544;0.0083146961230254526;0;0;0;0;0
1.093421505604885;0.0088192126434835511;0;0;0;0;0
1.1928234606598744;0.0092387953251128682;0;0;0;0;0
1.292225415714864;0.0095694033573220892;0;0;0;0;0
1.3916273707698537;0.0098078528040323049;0;0;0;0;0
1.491029325824843;0.0099518472667219689;0;0;0;0;0
1.5904312808798327;0.01;0;0;0;0;0
1.6898332359348223;0.0099518472667219689;0;0;0;0;0
1.7892351909898117;0.0098078528040323049;0;0;0;0;0
1.8886371460448013;0.0095694033573220892;0;0;0;0;0
1.9880391010997909;0.0092387953251128682;0;0;0;0;0
2.0874410561547805;0.0088192126434835511;0;0;0;0;0
2.1868430112097701;0.0083146961230254508;0;0;0;0;0
2.2862449662647593;0.0077301045336273713;0;0;0;0;0
2.3856469213197489;0.0070710678118654762;0;0;0;0;0
2.4850488763747385;0.006343932841636455;0;0;0;0;0
2.5844508314297281;0.0055557023301960251;0;0;0;0;0
2.6838527864847177;0.0047139673682599784;0;0;0;0;0
2.7832547415397073;0.0038268343236508989;0;0;0;0;0
2.8826566965946965;0.0029028467725446278;0;0;0;0;0
2.9820586516496861;0.001950903220161286;0;0;0;0;0
3.0814606067046757;0.00098017140329560823;0;0;0;0;0
3.1808625617596653;1.2246467991473532e-18;0;0;0;0;0
3.2802645168146549;-0.00098017140329560585;0;0;0;0;0
3.3796664718696445;-0.0019509032201612837;0;0;0;0;0
3.4790684269246341;-0.0029028467725446257;0;0;0;0;0
3.5784703819796233;-0.0038268343236508968;0;0;0;0;0
3.6778723370346129;-0.0047139673682599723;0;0;0;0;0
3.7772742920896025;-0.0055557023301960199;0;0;0;0;0
3.8766762471445921;-0.0063439328416364524;0;0;0;0;0
3.9760782021995817;-0.0070710678118654745;0;0;0;0;0
4.0754801572545709;-0.0077301045336273669;0;0;0;0;0
4.174882112309561;-0.0083146961230254526;0;0;0;0;0
4.2742840673645501;-0.0088192126434835493;0;0;0;0;0
4.3736860224195402;-0.0092387953251128682;0;0;0;0;0
4.4730879774745294;-0.0095694033573220892;0;0;0;0;0
4.5724899325295185;-0.0098078528040323031;0;0;0;0;0
4.6718918875845086;-0.0099518472667219689;0;0;0;0;0
4.7712938426394977;-0.01;0;0;0;0;0
4.8706957976944878;-0.0099518472667219689;0;0;0;0;0
4.970097752749477;-0.0098078528040323049;0;0;0;0;0
5.069499707804467;-0.0095694033573220875;0;0;0;0;0
5.1689016628594562;-0.00923879532511287;0;0;0;0;0
5.2683036179144453;-0.0088192126434835545;0;0;0;0;0
5.3677055729694354;-0.0083146961230254543;0;0;0;0;0
5.4671075280244246;-0.0077301045336273747;0;0;0;0;0
5.5665094830794146;-0.0070710678118654771;0;0;0;0;0
5.6659114381344038;-0.0063439328416364594;0;0;0;0;0
5.765313393189393;-0.0055557023301960294;0;0;0;0;0
5.864715348244383;-0.0047139673682599793;0;0;0;0;0
5.9641173032993722;-0.0038268343236509041;0;0;0;0;0
6.0635192583543622;-0.0029028467725446252;0;0;0;0;0
6.1629212134093514;-0.0019509032201612873;0;0;0;0;0
6.2623231684643414;-0.00098017140329560498;0;0;0;0;0
6.3617251235193306;-2.4492935982947064e-18;0;0;0;0;0
6.4611270785743198;0.00098017140329560021;0;0;0;0;0
6.5605290336293098;0.0019509032201612826;0;0;0;0;0
6.659930988684299;0.00290284677254462;0;0;0;0;0
6.7593329437392891;0.0038268343236508994;0;0;0;0;0
6.8587348987942782;0.0047139673682599758;0;0;0;0;0
