Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
37;0.3700643006947585;59;0;0.093535;51,801;51,801;0;0;2,112;1.002471;3.484848;3.327652;22,515;29,286;51,801;0;0;0;0.0001536874322012042;0.0001750363978708249;4.501047;9.864315;0.112343;51,929;7,360
38;0.3800159892396697;60;0;0.093837;51,801;51,801;0;0;2,112;1.002471;3.484848;3.423191;22,515;29,286;51,801;0;0;0;0.0001539029726920178;0.0001731641376674738;4.501047;9.864315;0.112343;51,929;7,360
39;0.3900925075176516;61;0;0.275880;51,801;51,801;0;0;2,112;1.002471;3.484848;3.700376;22,515;29,286;51,801;0;0;0;0.0001560351778976555;0.0001713047019106406;4.501047;9.864315;0.112343;51,929;7,360
40;0.4000017137112319;60;0;0.300408;51,801;51,801;0;0;2,112;1.002471;3.484848;4.002012;22,515;29,286;51,801;0;0;0;0.0001622014961986352;0.0001697684357519604;4.501047;9.864315;0.112343;51,929;7,360
41;0.4101398775946837;61;0;0.305131;51,801;51,801;0;0;2,112;1.002471;3.484848;4.308227;22,515;29,286;51,801;0;0;0;0.0001588229583994358;0.0001731164263477414;4.501047;9.864315;0.112343;51,929;7,360
42;0.4200184271228873;60;0;0.300965;51,801;51,801;0;0;2,112;1.002471;3.484848;4.610394;22,515;29,286;51,801;0;0;0;0.0001581443129307218;0.0001728792315242798;4.501047;9.864315;0.112343;51,929;7,360
43;0.4300789664080784;60;0;0.301775;51,801;51,801;0;0;2,112;1.002471;3.484848;4.913421;22,515;29,286;51,801;0;0;0;0.0001663476101231763;0.0001696699484602835;4.501047;9.864315;0.112343;51,929;7,360
44;0.4401101865791798;60;0;0.304615;51,801;51,801;0;0;2,112;1.002471;3.484848;5.219216;22,515;29,286;51,801;0;0;0;0.0001639886833705556;0.0001720339106031419;4.501047;9.864315;0.112343;51,929;7,360
45;0.4501035033955121;60;0;0.308175;51,801;51,801;0;0;1,920;1.002471;3.833333;5.528503;22,515;29,286;51,801;0;0;0;0.0001630629043219721;0.0001687194475748182;4.501047;9.864315;0.112343;51,929;7,360
46;0.4601207928968442;59;0;0.295032;51,801;51,801;0;0;1,920;1.002471;3.833333;5.824586;22,515;29,286;51,801;0;0;0;0.0001657392128466201;0.0001740368078217279;4.501047;9.864315;0.112343;51,929;7,360
