time [s];force [N];forcex [N];forcey [N];forcez [N]
0.535022;77.7143;-76.1117;-4.42969;15.0632
0.540062;30.6586;-4.54361;8.22319;-29.1836
0.545094;39.5745;32.119;1.78715;-23.0503
0.550054;42.0263;38.532;-14.7734;7.95245
0.555087;67.778;-23.4054;-1.09694;63.5991
0.560086;59.3624;-0.193001;4.65038;59.1796
0.565020;62.6599;24.4674;9.30506;56.93
0.570054;54.9279;6.39956;1.98379;54.5178
0.575029;74.6568;6.79645;0.551463;74.3447
0.580131;111.107;12.8238;-2.24471;110.342
0.585155;91.2525;13.4595;-3.39239;90.1907
0.590094;110.287;5.92107;-1.1985;110.121
0.595034;179.023;-16.112;10.4412;177.991
0.600032;206.274;-53.8033;17.3469;198.377
0.605150;181.674;-54.2333;2.67715;173.37
0.610141;120.577;3.82002;-23.9271;118.118
0.615025;82.974;51.8902;-27.0218;58.838
0.620051;75.8323;68.2896;-3.2502;32.8101
0.625119;74.7033;49.0587;26.5935;49.665
0.630105;52.2431;9.42956;20.2829;47.2126
0.635133;46.9144;-16.8344;-6.39445;43.3206
0.640028;55.9996;-20.5264;-15.1947;49.8372
0.645052;85.0488;-22.5274;-14.4153;80.7343
0.650020;130.083;-19.1717;-12.6506;128.039
0.655015;168.107;-38.7293;0.312613;163.585
0.660003;172.814;-26.6187;27.2556;168.562
0.665090;139.061;10.2715;22.7101;136.809
0.670018;105.205;2.44859;18.8997;103.464
0.675143;103.769;-24.6847;-12.3279;100.034
0.680116;67.0342;9.06363;-21.2832;62.9164
0.685034;64.4814;56.3897;-20.6286;23.5055
0.690146;37.7729;37.3257;-5.62755;1.38367
0.695116;37.0611;18.863;12.4961;29.3523
0.700109;96.5053;18.9692;11.3555;93.9388
0.705157;117.435;-13.7086;2.96763;116.595
0.710148;109.167;-47.0907;-0.814976;98.4852
0.715111;90.0069;-27.0841;-2.13806;85.8087
0.720019;113.842;-25.5158;-20.2585;109.08
0.725046;133.523;-6.19569;-12.4759;132.795
0.730013;111.317;-13.4143;8.27327;110.195
0.735156;116.84;-6.812;32.5388;112.011
0.740146;180.308;23.595;22.738;177.305
0.745155;180.051;51.3786;4.96103;172.494
0.750100;87.6199;50.33;-38.3456;60.6116
0.755114;62.038;38.0469;-38.8673;-29.8408
0.760065;41.6992;27.9684;-17.1654;25.7281
0.765035;94.3626;-9.32701;31.9828;88.2859
0.770024;85.0168;-29.6742;30.0743;73.7756
0.775132;80.3895;-55.2886;13.0621;56.8773
0.780073;83.195;-32.8012;-7.75814;76.0612
0.785155;109.008;-32.2445;-8.36882;103.793
0.790082;145.367;0.720245;-12.8465;144.797
0.795037;157.82;-1.22365;-14.2879;157.167
