time [s];force [N];forcex [N];forcey [N];forcez [N]
0.510120;182.613;0.0160593;-0.119291;182.613
0.515037;165.169;-0.0235755;0.000405788;165.169
0.520016;131.624;0.018243;0.0195343;131.624
0.525172;89.5682;-0.0194199;0.0595117;89.5682
0.530086;60.8042;-0.00510957;-0.0141298;60.8042
0.535117;42.8826;-0.0122807;0.0150568;42.8826
0.540093;34.639;-0.0159439;-0.00293535;34.639
0.545062;34.7687;0.0422342;-0.0263401;34.7686
0.550060;44.4072;-0.0317412;0.00988454;44.4072
0.555131;55.0564;-0.00311434;0.031944;55.0564
0.560108;60.7661;0.00883016;-0.0085218;60.7661
0.565075;66.6393;0.00803918;-0.0403422;66.6393
0.570039;72.0086;0.00755566;0.0106505;72.0086
0.575052;72.8237;0.00765173;-0.0349624;72.8237
0.580172;78.9821;-0.0100588;-0.000234485;78.9821
0.585075;90.5568;-0.0154262;0.0234963;90.5568
0.590019;107.33;-0.0104464;0.00707698;107.33
0.595106;125.974;0.043661;-0.00563383;125.974
0.600066;145.891;0.0429474;-0.0747344;145.891
0.605030;163.305;0.0209137;0.0515547;163.305
0.610071;169.41;0.0663663;-0.0391319;169.41
0.615113;166.458;0.00595498;-0.0107279;166.458
0.620080;160.477;-0.0984449;0.064749;160.477
0.625040;155.024;-0.023674;-0.0982404;155.024
0.630119;152.9;-0.0946778;-0.0051775;152.9
0.635103;158.802;-0.0799878;0.05267;158.801
0.640058;168.061;0.00414431;0.00167751;168.061
0.645009;171.878;0.039025;-0.0361979;171.878
0.650142;163.111;0.0144317;-0.0448937;163.111
0.655158;142.35;0.0706491;-0.0706089;142.35
0.660051;113.448;0.0867455;0.214483;113.448
0.665156;80.6508;-0.11802;-0.398448;80.6497
0.670148;62.0531;0.127572;0.151723;62.0527
0.675091;52.0291;0.0903993;-0.0334494;52.0291
0.680100;51.6423;-0.21067;-0.0461866;51.6419
0.685135;61.7566;0.0307022;0.317349;61.7557
0.690171;74.4028;0.0852833;-0.0795903;74.4027
0.695085;86.957;-0.161793;0.144931;86.9567
0.700100;90.3261;-0.0265854;0.113188;90.326
0.705133;87.9031;-0.060053;-0.00650465;87.9031
0.710060;83.9042;-0.00382191;0.0137674;83.9042
0.715177;81.6017;-0.0106733;0.0468481;81.6017
0.720129;86.9914;0.0275796;-0.207184;86.9912
0.725106;101.129;-0.0205978;0.0224705;101.129
0.730151;121.544;0.113118;-0.189745;121.544
0.735045;142.65;-0.110824;-0.166949;142.65
0.740069;154.114;0.14282;-0.107348;154.113
0.745155;155.609;-0.0506516;-0.197639;155.609
0.750024;145.809;-0.168896;0.286101;145.809
0.755037;135.396;0.0515087;-0.0724009;135.396
0.760080;128.67;0.111136;0.135362;128.669
0.765126;130.037;-0.120898;0.334661;130.037
0.770023;138.399;0.128107;0.0207416;138.399
0.775046;149.372;-0.0904336;0.227862;149.372
0.780059;154.257;0.00110784;0.270878;154.257
0.785164;152.179;0.015957;-0.326473;152.179
0.790160;135.408;-0.347712;0.130333;135.407
0.795163;115.183;0.470659;-0.123413;115.181
