Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
23;0.2303627566465101;23;0;0.013320;36,752;36,752;0;0;1,350;1.003483;4.137778;0.344499;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
24;0.2403220487571675;23;0;0.013300;36,752;36,752;0;0;1,350;1.003483;4.137778;0.358834;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
25;0.2502813408678248;23;0;0.013313;36,752;36,752;0;0;1,350;1.003483;4.137778;0.373080;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
26;0.2602406329784822;23;0;0.013310;36,752;36,752;0;0;1,350;1.003483;4.137778;0.387282;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
27;0.2701999250891396;23;0;0.013314;36,752;36,752;0;0;1,350;1.003483;4.137778;0.401488;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
28;0.280159217199797;23;0;0.013307;36,752;36,752;0;0;1,350;1.003483;4.137778;0.415675;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
29;0.2901185093104544;23;0;0.013367;36,752;36,752;0;0;1,350;1.003483;4.137778;0.430003;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
30;0.3000778014211117;23;0;0.013647;36,752;36,752;0;0;1,350;1.003483;4.137778;0.444759;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
31;0.3100370935317691;23;0;0.013281;36,752;36,752;0;0;1,350;1.003483;4.137778;0.459005;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
32;0.3204293983428899;24;0;0.013832;36,752;36,752;0;0;1,350;1.003483;4.137778;0.473735;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
33;0.3303886904535472;23;0;0.013323;36,752;36,752;0;0;1,350;1.003483;4.137778;0.487948;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
34;0.3403479825642046;23;0;0.013310;36,752;36,752;0;0;1,350;1.003483;4.137778;0.502161;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
35;0.350307274674862;23;0;0.013309;36,752;36,752;0;0;1,350;1.003483;4.137778;0.516375;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
36;0.3602665667855194;23;0;0.013306;36,752;36,752;0;0;1,350;1.003483;4.137778;0.530625;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
37;0.3702258588961768;23;0;0.013308;36,752;36,752;0;0;1,350;1.003483;4.137778;0.544823;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
38;0.3801851510068341;23;0;0.013306;36,752;36,752;0;0;1,350;1.003483;4.137778;0.559069;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
39;0.3901444431174915;23;0;0.013287;36,752;36,752;0;0;1,350;1.003483;4.137778;0.573235;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
40;0.4001037352281489;23;0;0.013324;36,752;36,752;0;0;1,350;1.003483;4.137778;0.587448;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
41;0.4100630273388063;23;0;0.013285;36,752;36,752;0;0;1,350;1.003483;4.137778;0.601611;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
42;0.4200223194494637;23;0;0.013304;36,752;36,752;0;0;1,350;1.003483;4.137778;0.615819;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
43;0.4304146242605844;24;0;0.013852;36,752;36,752;0;0;1,350;1.003483;4.137778;0.630612;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
44;0.4403739163712418;23;0;0.013499;36,752;36,752;0;0;1,350;1.003483;4.137778;0.644995;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
45;0.4503332084818992;23;0;0.013290;36,752;36,752;0;0;1,350;1.003483;4.137778;0.659253;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
46;0.4602925005925566;23;0;0.013320;36,752;36,752;0;0;1,350;1.003483;4.137778;0.673465;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
47;0.4702517927032139;23;0;0.013731;36,752;36,752;0;0;1,350;1.003483;4.137778;0.688099;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
48;0.4802110848138713;23;0;0.013319;36,752;36,752;0;0;1,350;1.003483;4.137778;0.702421;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
49;0.4901703769245287;23;0;0.013293;36,752;36,752;0;0;1,350;1.003483;4.137778;0.716605;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
50;0.5001296690351861;23;0;0.013313;36,752;36,752;0;0;1,350;1.003483;4.137778;0.730885;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
51;0.5100889611458435;23;0;0.013303;36,752;36,752;0;0;1,350;1.003483;4.137778;0.745084;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
52;0.5200482532565008;23;0;0.013291;36,752;36,752;0;0;1,350;1.003483;4.137778;0.759302;7,466;29,286;36,752;0;0;0;0.0004330127004633667;0.0004330127004633667;3.209381;5.745224;0.085274;36,880;5,586
