#Time;LinearAccX;LinearAccY;LinearAccZ;AngularAccX;AngularAccY;AngularAccZ
0;0;0;0;0;0;0
0.0383778308893616;0.00098017140329560628;0;0;0;0;0
0.0767556617787232;0.0019509032201612828;0;0;0;0;0
0.1151334926680848;0.0029028467725446235;0;0;0;0;0
0.1535113235574464;0.0038268343236508981;0;0;0;0;0
0.19188915444680799;0.0047139673682599767;0;0;0;0;0
0.2302669853361696;0.0055557023301960216;0;0;0;0;0
0.26864481622553121;0.0063439328416364559;0;0;0;0;0
0.3070226471148928;0.0070710678118654762;0;0;0;0;0
0.34540047800425439;0.0077301045336273704;0;0;0;0;0
0.38377830889361597;0.0083146961230254526;0;0;0;0;0
0.42215613978297761;0.0088192126434835511;0;0;0;0;0
0.4605339706723392;0.0092387953251128682;0;0;0;0;0
0.49891180156170079;0.0095694033573220892;0;0;0;0;0
0.53728963245106243;0.0098078528040323049;0;0;0;0;0
0.57566746334042396;0.0099518472667219689;0;0;0;0;0
0.6140452942297856;0.01;0;0;0;0;0
0.65242312511914724;0.0099518472667219689;0;0;0;0;0
0.69080095600850877;0.0098078528040323049;0;0;0;0;0
0.72917878689787041;0.0095694033573220892;0;0;0;0;0
0.76755661778723194;0.0092387953251128682;0;0;0;0;0
0.80593444867659358;0.0088192126434835511;0;0;0;0;0
0.84431227956595523;0.0083146961230254508;0;0;0;0;0
0.88269011045531676;0.0077301045336273713;0;0;0;0;0
0.9210679413446784;0.0070710678118654762;0;0;0;0;0
0.95944577223404004;0.006343932841636455;0;0;0;0;0
0.99782360312340157;0.0055557023301960216;0;0;0;0;0
1.0362014340127632;0.0047139673682599741;0;0;0;0;0
1.0745792649021249;0.0038268343236508946;0;0;0;0;0
1.1129570957914865;0.0029028467725446196;0;0;0;0;0
1.1513349266808479;0.0019509032201612817;0;0;0;0;0
1.1897127575702096;0.00098017140329560389;0;0;0;0;0
1.2280905884595712;-3.2162452993532734e-18;0;0;0;0;0
1.2664684193489328;-0.0009801714032956104;0;0;0;0;0
1.3048462502382945;-0.001950903220161288;0;0;0;0;0
1.3432240811276559;-0.0029028467725446213;0;0;0;0;0
1.3816019120170175;-0.0038268343236508968;0;0;0;0;0
1.4199797429063792;-0.0047139673682599767;0;0;0;0;0
1.4583575737957408;-0.0055557023301960233;0;0;0;0;0
1.4967354046851025;-0.0063439328416364559;0;0;0;0;0
1.5351132355744639;-0.0070710678118654745;0;0;0;0;0
1.5734910664638255;-0.0077301045336273721;0;0;0;0;0
1.6118688973531872;-0.0083146961230254526;0;0;0;0;0
1.6502467282425488;-0.0088192126434835528;0;0;0;0;0
1.6886245591319105;-0.0092387953251128682;0;0;0;0;0
1.7270023900212721;-0.0095694033573220909;0;0;0;0;0
1.7653802209106335;-0.0098078528040323031;0;0;0;0;0
1.8037580517999952;-0.0099518472667219689;0;0;0;0;0
1.8421358826893568;-0.01;0;0;0;0;0
1.8805137135787184;-0.0099518472667219689;0;0;0;0;0
1.9188915444680801;-0.0098078528040323049;0;0;0;0;0
1.9572693753574415;-0.0095694033573220892;0;0;0;0;0
1.9956472062468031;-0.0092387953251128665;0;0;0;0;0
2.034025037136165;-0.0088192126434835458;0;0;0;0;0
2.0724028680255264;-0.0083146961230254508;0;0;0;0;0
2.1107806989148878;-0.0077301045336273687;0;0;0;0;0
2.1491585298042497;-0.0070710678118654701;0;0;0;0;0
2.1875363606936111;-0.0063439328416364524;0;0;0;0;0
2.225914191582973;-0.0055557023301960155;0;0;0;0;0
2.2642920224723344;-0.0047139673682599715;0;0;0;0;0
2.3026698533616958;-0.0038268343236508959;0;0;0;0;0
2.3410476842510577;-0.0029028467725446161;0;0;0;0;0
2.3794255151404191;-0.0019509032201612787;0;0;0;0;0
2.417803346029781;-0.0009801714032955963;0;0;0;0;0
2.4561811769191424;6.4324905987065469e-18;0;0;0;0;0
2.4945590078085038;0.00098017140329560021;0;0;0;0;0
2.5329368386978657;0.001950903220161291;0;0;0;0;0
2.5713146695872271;0.00290284677254462;0;0;0;0;0
2.609692500476589;0.003826834323650908;0;0;0;0;0
2.6480703313659504;0.0047139673682599758;0;0;0;0;0
2.6864481622553118;0.0055557023301960181;0;0;0;0;0
2.7248259931446737;0.0063439328416364628;0;0;0;0;0
2.7632038240340351;0.0070710678118654736;0;0;0;0;0
2.8015816549233969;0.0077301045336273765;0;0;0;0;0
2.8399594858127584;0.0083146961230254526;0;0;0;0;0
2.8783373167021198;0.0088192126434835493;0;0;0;0;0
2.9167151475914816;0.0092387953251128682;0;0;0;0;0
2.9550929784808431;0.0095694033573220892;0;0;0;0;0
2.9934708093702049;0.0098078528040323049;0;0;0;0;0
3.0318486402595664;0.0099518472667219689;0;0;0;0;0
3.0702264711489278;0.01;0;0;0;0;0
3.1086043020382896;0.0099518472667219689;0;0;0;0;0
3.1469821329276511;0.0098078528040323031;0;0;0;0;0
3.1853599638170129;0.0095694033573220875;0;0;0;0;0
3.2237377947063743;0.0092387953251128682;0;0;0;0;0
3.2621156255957362;0.0088192126434835424;0;0;0;0;0
3.3004934564850976;0.0083146961230254456;0;0;0;0;0
3.338871287374459;0.0077301045336273643;0;0;0;0;0
3.3772491182638209;0.007071067811865471;0;0;0;0;0
3.4156269491531823;0.0063439328416364541;0;0;0;0;0
