Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
23;0.1150166490572;108;0;0.346052;330,040;330,040;0;0;10,080;1.000388;5.107143;5.464783;87,979;242,061;330,040;0;0;0;4.373101586593433e-05;4.817502193227286e-05;28.382492;62.784546;0.785561;330,168;51,480
24;0.1200054585858718;113;0;0.344056;330,040;330,040;0;0;10,080;1.000388;5.107143;5.816692;87,979;242,061;330,040;0;0;0;3.834787446494697e-05;4.788416684606495e-05;28.382492;62.784546;0.785561;330,168;51,480
25;0.1250275576498244;116;0;0.430875;330,040;330,040;0;0;10,080;1.000388;5.107143;6.255486;87,979;242,061;330,040;0;0;0;3.549721616855362e-05;5.076090763668993e-05;28.382492;62.784546;0.785561;330,168;51,480
26;0.1300353886836736;114;0;0.353414;330,040;330,040;0;0;10,080;1.000388;5.107143;6.616435;87,979;242,061;330,040;0;0;0;4.222529253575128e-05;4.771604728441089e-05;28.382492;62.784546;0.785561;330,168;51,480
27;0.1350282034856524;108;0;0.345651;330,040;330,040;0;0;10,080;1.000388;5.107143;6.969790;87,979;242,061;330,040;0;0;0;4.328412691823798e-05;4.977072258600215e-05;28.382492;62.784546;0.785561;330,168;51,480
28;0.1400243201284689;104;0;0.315699;330,040;330,040;0;0;10,710;1.000388;4.806723;7.292991;87,979;242,061;330,040;0;0;0;4.287671756254113e-05;5.236193568308454e-05;28.382492;62.784546;0.785561;330,168;51,480
29;0.1450205284183373;112;0;0.344875;330,040;330,040;0;0;10,710;1.000388;4.806723;7.645994;87,979;242,061;330,040;0;0;0;0.0000409965459432646;5.042808227165155e-05;28.382492;62.784546;0.785561;330,168;51,480
30;0.1500179006155661;99;0;0.298140;330,040;330,040;0;0;11,340;1.000388;4.539683;7.953380;87,979;242,061;330,040;0;0;0;4.203745871990937e-05;5.680273504132714e-05;28.382492;62.784546;0.785561;330,168;51,480
31;0.1550544866903794;81;0;0.243957;330,040;330,040;0;0;11,340;1.000388;4.539683;8.204740;87,979;242,061;330,040;0;0;0;0.0000555651179877759;6.658092358553152e-05;28.382492;62.784546;0.785561;330,168;51,480
32;0.1600119963596585;87;0;0.352591;330,040;330,040;0;0;11,340;1.000388;4.539683;8.564986;87,979;242,061;330,040;0;0;0;5.009971089926169e-05;6.409010904160057e-05;28.382492;62.784546;0.785561;330,168;51,480
