time [s];force [N];forcex [N];forcey [N];forcez [N]
0.320031;234.473;-40.7624;136.325;186.364
0.322501;145.537;-39.3628;10.9125;139.687
0.325016;127.035;65.3372;-83.5692;69.8931
0.327529;210.477;163.696;-40.0502;126.096
0.330031;288.236;194.564;34.9792;209.764
0.332535;184.532;53.9918;111.102;137.089
0.335072;184.482;-134.127;123.225;29.3182
0.337555;109.896;-101.915;11.6841;39.4222
0.340013;172.483;53.36;-125.531;105.569
0.342545;174.763;70.9646;-106.02;119.44
0.345036;41.0928;-26.3563;16.3382;26.9635
0.347517;86.6268;-79.941;29.4069;15.7761
0.350064;162.359;-70.2505;-52.2658;136.724
0.352506;230.208;-69.659;-119.154;184.244
0.355049;150.186;-80.243;-66.8885;107.902
0.357548;125.161;51.9273;29.091;110.102
0.360001;151.071;75.4595;22.1015;128.996
0.362565;100.188;35.9936;-6.42351;93.2779
0.365059;11.3738;-7.1212;8.16282;3.46686
0.367569;68.9429;-3.87894;23.2254;-64.797
0.370013;43.757;-0.752898;43.6903;2.29481
0.372573;101.38;-13.5289;31.1973;95.5067
0.375074;81.4018;19.3144;39.1477;68.7071
0.377539;48.7753;0.989727;30.6091;37.9622
0.380041;100.359;9.24593;19.2723;98.0562
0.382562;156.244;-23.7649;-0.514004;154.425
0.385025;153.272;-56.5207;-0.680177;142.469
0.387548;90.6899;-27.229;15.5608;85.0946
0.390008;44.6413;10.3898;13.101;41.3916
0.392512;77.0982;63.8702;0.306176;43.1815
0.395003;94.0682;53.3987;-8.33584;76.9929
0.397536;63.6753;30.2921;-39.0779;40.123
0.400020;74.7821;6.26655;-70.5449;24.0104
0.402522;125.28;46.7009;-76.8151;87.255
0.405056;170.49;71.515;-57.0355;143.873
0.407535;180.829;75.9676;33.6529;160.61
0.410013;212.731;5.73107;107.732;183.345
0.412512;222.148;-99.5885;83.0623;180.368
0.415074;163.573;-84.1923;-26.4323;137.728
0.417566;139.475;-94.17;-86.1507;56.2434
0.420051;84.5793;-36.3018;-74.5841;16.5242
0.422529;66.1652;1.09961;1.37077;66.1419
0.425013;79.4348;15.7537;66.9939;39.6678
0.427573;77.6166;31.8152;59.235;38.773
0.430038;77.5259;-24.0911;9.43633;73.081
0.432538;116.956;-21.5936;-39.0971;108.092
0.435060;145.136;49.3626;-27.2392;133.738
0.437515;107.216;44.304;-11.159;96.9942
0.440015;96.8241;-2.87733;7.82827;96.4642
0.442522;152.443;-31.9723;23.4794;147.191
0.445071;103.301;-43.3587;34.1926;87.3035
0.447545;56.5648;-29.3672;30.0641;37.859
0.450052;57.822;12.3983;-31.7745;46.6909
0.452576;156.123;70.7096;-115.867;77.132
0.455030;142.387;82.9228;-53.4183;102.686
0.457516;68.5182;-14.4843;40.4341;53.3856
0.460012;56.1867;3.47813;45.0133;33.4462
0.462540;77.9407;41.2107;17.0928;63.9082
0.465070;111.494;78.4333;-17.864;77.2017
