TimeStep [s],Np,Nbound,Nfixed,Nmoving,Nfloat,Nfluid
0.800017,29286,0,0,0,0,29286

Pos.x [m],Pos.y [m],Pos.z [m],Zone,Idp,Vel.x [m/s],Vel.y [m/s],Vel.z [m/s],Rhop [kg/m^3],Mass [kg],Press [Pa],Type,Mk,
  7.0068496E-01,  4.4728633E-02,  4.6990823E-02,0,24160,  4.2982168E-02,  8.6162098E-02,  3.5999212E-02,  1.0071838E+03,  1.5625000E-02,  1.5842326E+04,3,1,
  7.1946883E-01,  4.5911137E-02,  4.6089016E-02,0,24746,  2.3461251E-02,  1.7559165E-02,  1.1821914E-01,  1.0071333E+03,  1.5625000E-02,  1.5728488E+04,3,1,
  7.4057806E-01,  4.8848070E-02,  4.3216255E-02,0,25413, -3.2877311E-02,  8.1260525E-02, -1.9653773E-02,  1.0073787E+03,  1.5625000E-02,  1.6281641E+04,3,1,
  7.5667036E-01,  4.5948695E-02,  4.7870420E-02,0,26080, -1.8995596E-01,  2.5639543E-02,  4.4119924E-02,  1.0075124E+03,  1.5625000E-02,  1.6583250E+04,3,1,
  7.7479786E-01,  4.8109669E-02,  4.4595841E-02,0,26747, -1.6488646E-01,  9.5500648E-02, -3.8125433E-02,  1.0074894E+03,  1.5625000E-02,  1.6531449E+04,3,1,
  7.9672110E-01,  4.4386517E-02,  4.6026416E-02,0,27414, -9.4713792E-02, -3.1652283E-02,  4.5003008E-02,  1.0075287E+03,  1.5625000E-02,  1.6620176E+04,3,1,
  8.2153946E-01,  4.7898937E-02,  4.1228931E-02,0,28081, -1.1215127E-01, -7.4356206E-02,  2.9227059E-02,  1.0078378E+03,  1.5625000E-02,  1.7318586E+04,3,1,
  8.5068202E-01,  4.6569657E-02,  4.1816141E-02,0,28748, -6.5399662E-02, -1.2004717E-01,  1.1836689E-01,  1.0077189E+03,  1.5625000E-02,  1.7049633E+04,3,1,
  8.7697959E-01,  4.4783462E-02,  4.4550005E-02,0,29415, -7.5608477E-02, -9.2014680E-03,  3.7287060E-02,  1.0072178E+03,  1.5625000E-02,  1.5918926E+04,3,1,
  9.0243560E-01,  4.5084465E-02,  4.6929084E-02,0,30082, -2.5904480E-01,  6.4716325E-03,  4.7588043E-02,  1.0072458E+03,  1.5625000E-02,  1.5981922E+04,3,1,
  9.2355949E-01,  4.7660880E-02,  4.5246255E-02,0,30749, -2.3623644E-01, -7.8241080E-02,  1.0788422E-01,  1.0071567E+03,  1.5625000E-02,  1.5781141E+04,3,1,
  9.4026726E-01,  4.9097482E-02,  4.3371640E-02,0,31416, -2.0722558E-01,  7.0989534E-02, -7.3066317E-02,  1.0073161E+03,  1.5625000E-02,  1.6140421E+04,3,1,
  9.7076100E-01,  4.3988917E-02,  4.3235000E-02,0,32083, -4.0533689E-01,  1.2193753E-01, -1.9989673E-02,  1.0075099E+03,  1.5625000E-02,  1.6577602E+04,3,1,
  9.9945939E-01,  4.9976833E-02,  5.1826574E-02,0,32129,  4.5695197E-02, -6.5124981E-02, -4.6860934E-03,  1.0033177E+03,  1.5625000E-02,  7.2320303E+03,3,1,
  1.0510411E+00,  4.5715269E-02,  4.5209944E-02,0,33418,  4.0978726E-02,  3.5684627E-02, -5.1799677E-03,  1.0035686E+03,  1.5625000E-02,  7.7847056E+03,3,1,
  1.0766370E+00,  4.9452163E-02,  4.6097182E-02,0,32819,  1.6597502E-01, -6.4562070E-03,  1.3282274E-02,  1.0032672E+03,  1.5625000E-02,  7.1207886E+03,3,1,
  1.0188980E+00,  4.9042411E-02,  4.4969257E-02,0,32773, -1.2665872E-01,  8.4615527E-03, -4.8693080E-02,  1.0036686E+03,  1.5625000E-02,  8.0052002E+03,3,1,
  1.0087762E+00,  4.9548056E-02,  4.9449302E-02,0,32796,  1.0438536E-01,  4.9823783E-02, -1.2500449E-01,  1.0034225E+03,  1.5625000E-02,  7.4626816E+03,3,1,
  1.0975648E+00,  4.8740279E-02,  5.1545303E-02,0,33486,  5.1757645E-02, -7.9286590E-02,  7.1229495E-02,  1.0030512E+03,  1.5625000E-02,  6.6457031E+03,3,1,
  1.1312690E+00,  4.8580848E-02,  4.9410801E-02,0,32750,  9.0906963E-02,  1.2670441E-01,  8.0235221E-04,  1.0047984E+03,  1.5625000E-02,  1.0506182E+04,3,1,
  1.1560760E+00,  4.2844616E-02,  4.5063954E-02,0,36085, -1.8781354E-01,  1.2753642E-01, -9.2705168E-02,  1.0147966E+03,  1.5625000E-02,  3.3386977E+04,3,1,
  1.1099111E+00,  5.1759563E-02,  5.1599097E-02,0,33440,  2.0508437E-01,  1.6601214E-01, -7.1170339E-03,  1.0032033E+03,  1.5625000E-02,  6.9801724E+03,3,1,
  1.1041867E+00,  5.1048566E-02,  4.8553288E-02,0,34107, -1.1961816E-01, -1.5127072E-01,  6.1225474E-02,  1.0031813E+03,  1.5625000E-02,  6.9317012E+03,3,1,
  4.4444196E-02,  8.8963225E-02,  4.2560663E-02,0,7581,  1.0636494E-01, -2.4898206E-01,  1.6682976E-01,  1.0057507E+03,  1.5625000E-02,  1.2627416E+04,3,1,
  7.0650294E-02,  9.2145197E-02,  4.4445869E-02,0,9536,  5.3136203E-02,  6.5458484E-02,  9.3048709E-03,  1.0036717E+03,  1.5625000E-02,  8.0120674E+03,3,1,
  1.2161691E-01,  1.1080264E-01,  5.0062910E-02,0,8870, -6.1603617E-02, -7.4923426E-02,  3.2399386E-02,  1.0023162E+03,  1.5625000E-02,  5.0336089E+03,3,1,
  1.0195938E-01,  9.5536128E-02,  5.4739352E-02,0,8848, -6.7946620E-02, -3.5022277E-02,  4.2837106E-02,  1.0012768E+03,  1.5625000E-02,  2.7661550E+03,3,1,
  1.1594465E-01,  9.1301039E-02,  5.4498602E-02,0,10182, -2.4552731E-02, -9.8781921E-02,  2.2800336E-02,  1.0012958E+03,  1.5625000E-02,  2.8074392E+03,3,1,
  1.0107812E-01,  1.1606427E-01,  5.3915415E-02,0,8871, -9.6019849E-02,  8.0493361E-02,  1.9146599E-02,  1.0017501E+03,  1.5625000E-02,  3.7968694E+03,3,1,
  1.0231891E-01,  7.8138545E-02,  5.2348353E-02,0,8180, -1.1714050E-02, -7.3584497E-02,  1.2630325E-02,  1.0017314E+03,  1.5625000E-02,  3.7561384E+03,3,1,
  8.6727619E-02,  9.3177661E-02,  5.3310584E-02,0,8824,  1.0097314E-01, -4.7762774E-02,  2.3439432E-04,  1.0019639E+03,  1.5625000E-02,  4.2636045E+03,3,1,
  9.2202455E-02,  1.3544665E-01,  5.3408157E-02,0,8894, -1.7200950E-01, -2.4591252E-02, -2.7526610E-02,  1.0020569E+03,  1.5625000E-02,  4.4667886E+03,3,1,
  4.6765391E-02,  1.1773989E-01,  4.8777919E-02,0,8248,  3.5091817E-02, -4.2580515E-01,  1.2260035E-01,  1.0032906E+03,  1.5625000E-02,  7.1722402E+03,3,1,
  9.6779287E-02,  1.3062035E-01,  5.2679133E-02,0,8917, -2.2216175E-01, -1.2715353E-01, -2.1317698E-02,  1.0015917E+03,  1.5625000E-02,  3.4515991E+03,3,1,
  5.4064453E-02,  9.1441408E-02,  5.3560961E-02,0,7559, -1.3804135E-02,  1.8566607E-01,  2.2210650E-02,  1.0035201E+03,  1.5625000E-02,  7.6778711E+03,3,1,
  6.6756569E-02,  1.2563320E-01,  5.5318795E-02,0,9560, -1.3920942E-01, -2.0807516E-02,  2.4805617E-02,  1.0015378E+03,  1.5625000E-02,  3.3343215E+03,3,1,
